timestamp,event,actor,target,ability,modifier,source,value,unit,state,state_name
00:02:10.333,game_state,,,,,,2,,2,hero_selection
00:02:10.333,game_state,,,,,,12,,12,wait_for_players
00:02:10.333,game_state,,,,,,9,,9,game_loading
00:03:15.433,game_state,,,,,,3,,3,strategy_time
00:03:45.466,game_state,,,,,,8,,8,pre_game
00:03:47.866,modifier_gain,nevermore,,,modifier_nevermore_necromastery,nevermore,,,,
00:03:47.900,modifier_gain,nevermore,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:47.933,modifier_gain,primal_beast,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:47.966,modifier_gain,zuus,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:47.966,modifier_gain,drow_ranger,,,modifier_drow_ranger_trueshot,drow_ranger,,,,
00:03:48.000,modifier_gain,drow_ranger,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.000,modifier_gain,drow_ranger,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:48.033,modifier_gain,kunkka,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.033,modifier_gain,kunkka,,,modifier_kunkka_tidebringer,kunkka,,,,
00:03:48.066,modifier_gain,bloodseeker,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.100,modifier_gain,bane,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.133,modifier_gain,vengefulspirit,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.133,modifier_gain,vengefulspirit,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:48.166,modifier_gain,dragon_knight,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.200,modifier_gain,crystal_maiden,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:48.200,modifier_gain,crystal_maiden,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:04:01.466,game_state,,,,,,10,,10,post_game
00:04:01.500,game_state,,,,,,4,,4,game_in_progress
00:04:04.666,modifier_gain,bloodseeker,,,modifier_tower_aura_bonus,goodguys_tower4,,,,
00:04:05.166,modifier_gain,bane,,,modifier_tower_aura_bonus,goodguys_tower4,,,,
00:04:06.100,modifier_loss,bloodseeker,,,modifier_fountain_aura_buff,,,,,
