timestamp,event,actor,target,ability,modifier,source,value,unit,state,state_name
00:01:49.833,game_state,,,,,,2,,2,hero_selection
00:01:49.833,game_state,,,,,,12,,12,wait_for_players
00:01:49.833,game_state,,,,,,9,,9,game_loading
00:02:35.966,game_state,,,,,,3,,3,strategy_time
00:03:06.000,game_state,,,,,,8,,8,pre_game
00:03:07.466,modifier_gain,tidehunter,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:07.466,modifier_gain,nevermore,,,modifier_nevermore_necromastery,nevermore,,,,
00:03:07.500,modifier_gain,nevermore,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:07.500,modifier_gain,drow_ranger,,,modifier_drow_ranger_trueshot,drow_ranger,,,,
00:03:07.533,modifier_gain,drow_ranger,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:07.533,modifier_gain,drow_ranger,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:07.566,modifier_gain,sniper,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:22.000,game_state,,,,,,10,,10,post_game
00:03:22.033,game_state,,,,,,4,,4,game_in_progress
00:03:23.133,modifier_gain,dragon_knight,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.133,modifier_gain,bounty_hunter,,,modifier_bounty_hunter_big_game_hunter,bounty_hunter,,,,
00:03:23.166,modifier_gain,bounty_hunter,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.166,cast_ability,bounty_hunter,dota_unknown,bounty_hunter_wind_walk,,,1,level,,
00:03:23.166,modifier_gain,bounty_hunter,,,modifier_bounty_hunter_wind_walk,bounty_hunter,,,,
00:03:23.200,modifier_gain,lich,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.233,modifier_gain,necrolyte,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.233,modifier_gain,necrolyte,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:23.266,modifier_gain,skywrath_mage,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.266,modifier_gain,skywrath_mage,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:23.500,modifier_gain,bane,,,modifier_fountain_aura_buff,dota_fountain,,,,
00:03:23.500,modifier_gain,bane,,,modifier_drow_ranger_marksmanship_aura_bonus,drow_ranger,,,,
00:03:24.166,modifier_gain,drow_ranger,,,modifier_bounty_hunter_big_game_hunter_tracks,bounty_hunter,,,,
00:03:24.166,modifier_gain,tidehunter,,,modifier_bounty_hunter_big_game_hunter_tracks,bounty_hunter,,,,
